[2023-13-08 07:12:32]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 07:12:32]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 07:46:10]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 07:46:10]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 07:48:25]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 07:48:25]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 07:48:25]: DEBUG: collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 07:48:25]: DEBUG: collection_links is array.
[2023-13-08 07:51:42]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 07:51:42]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 07:51:42]: DEBUG: collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 07:51:42]: DEBUG: collection_links is array.
[2023-13-08 07:54:14]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 07:54:14]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 07:54:14]: DEBUG: collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 07:54:14]: DEBUG: collection_links is array.
[2023-13-08 07:56:39]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 07:56:39]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 07:56:39]: DEBUG: collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 07:56:39]: DEBUG: collection_links is array.
[2023-13-08 07:57:25]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 07:57:25]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 07:57:25]: DEBUG: collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 07:57:25]: DEBUG: collection_links is array.
[2023-13-08 08:28:32]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 08:28:32]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 08:28:32]: DEBUG: collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 08:28:32]: DEBUG: collection_links is array.
[2023-13-08 08:29:58]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 08:29:58]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:31:52]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 08:32:27]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 08:32:27]: DEBUG: Calling _show_collection_index_ with collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 08:32:27]: DEBUG: show_collection_index called, and collection_links is not array.  Variable for collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]. If url var is blank check configuration. If Url is correct check internet access and DNS resolution. Making second attempt
[2023-13-08 08:32:27]: DEBUG: The url provided to fetch the collection index url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 08:32:27]: DEBUG: Input to class function __fetch_ansible_docs_element: url=[https://docs.ansible.com/ansible/latest/collections/index.html],element_name=[collection-index]
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: collection_links array build section:
[2023-13-08 08:32:27]: DEBUG: The collection_links array has been creaetd properly. It contains 107 links.
[2023-13-08 08:39:49]: DEBUG: Logging started, primary log file is /home/eric/REW-01/rewble/logs/rewble.log
[2023-13-08 08:39:49]: DEBUG: Value of __dir__=[/home/eric/REW-01/rewble]
[2023-13-08 08:39:49]: DEBUG: Calling _show_collection_index_ with collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 08:39:49]: DEBUG: show_collection_index called, and collection_links is not array.  Variable for collection_index_url=[https://docs.ansible.com/ansible/latest/collections/index.html]. If url var is blank check configuration. If Url is correct check internet access and DNS resolution. Making second attempt
[2023-13-08 08:39:49]: DEBUG: The url provided to fetch the collection index url=[https://docs.ansible.com/ansible/latest/collections/index.html]
[2023-13-08 08:39:49]: DEBUG: Input to class function __fetch_ansible_docs_element: url=[https://docs.ansible.com/ansible/latest/collections/index.html],element_name=[collection-index]
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
[2023-13-08 08:39:50]: DEBUG: collection_links array build section:
